URI	Label	Support	True_positives	False_positives	False_negatives	Precision	Recall	F1_score
http://uricorn.fly/linsearch#tec	Technik allgemein	5003	4678	75914	325	0.05804546356958507	0.9350389766140316	0.10930545008470122
http://uricorn.fly/linsearch#fer	Werkstoffkunde	2958	2830	17203	128	0.14126690959916138	0.9567275185936444	0.24618328911313123
http://uricorn.fly/linsearch#mas	Maschinenbau, Energietechnik	7406	7091	53233	315	0.11754857104966514	0.9574669187145558	0.20939022589694373
http://uricorn.fly/linsearch#elt	Elektrotechnik	3916	3849	25427	67	0.1314728788085804	0.9828907048008172	0.2319233550253073
http://uricorn.fly/linsearch#ver	Verkehrstechnik, Verkehrswesen	4134	3889	35354	245	0.09910047651810514	0.9407353652636672	0.17931161675542337
http://uricorn.fly/linsearch#bau	Bauwesen	5035	4704	40618	331	0.10379065354573938	0.9342601787487587	0.18682606191790616
http://uricorn.fly/linsearch#ber	Bergbau	544	535	47134	9	0.011223226835050032	0.9834558823529411	0.022193184410843548
http://uricorn.fly/linsearch#cet	Chemische und Umwelttechnik	8157	7755	36451	402	0.17542867484051938	0.9507171754321442	0.2962015163378721
http://uricorn.fly/linsearch#med	Medizintechnik	744	562	8755	182	0.06031984544381239	0.7553763440860215	0.11171851704601928
http://uricorn.fly/linsearch#meda	Medizin	4095	2680	19092	1415	0.12309388205033989	0.6544566544566545	0.20721382456411644
http://uricorn.fly/linsearch#arc	Architektur	6982	6592	75515	390	0.08028548114046305	0.9441420796333428	0.14798684461605813
http://uricorn.fly/linsearch#che	Chemie	4576	4257	16135	319	0.20875833660258925	0.9302884615384616	0.34099647548862544
http://uricorn.fly/linsearch#inf	Informatik	5372	5028	40162	344	0.11126355388360257	0.93596425912137	0.19888453779518217
http://uricorn.fly/linsearch#mat	Mathematik	4477	4136	18825	341	0.1801315273725012	0.9238329238329238	0.3014796996865661
http://uricorn.fly/linsearch#phy	Physik	5839	5701	49758	138	0.10279666059611604	0.9763658160643945	0.18600933146269047
http://uricorn.fly/linsearch#bio	Biowissenschaften, Biologie	4002	3763	23446	239	0.13829982726303797	0.940279860069965	0.2411329339015091
http://uricorn.fly/linsearch#pae	Erziehungswissenschaften, Fachdidaktiken	13998	13312	57591	686	0.18774946053058403	0.9509929989998571	0.3135887680946043
http://uricorn.fly/linsearch#hor	Gartenbau	3408	3216	51608	192	0.058660440682912596	0.9436619718309859	0.11045473279296607
http://uricorn.fly/linsearch#geo	Geowissenschaften, Geographie	4733	4436	84177	297	0.05006037488856037	0.9372491020494401	0.09504424399545776
http://uricorn.fly/linsearch#his	Geschichte	8379	7990	39467	389	0.168362939081695	0.9535744122210288	0.2861952861952862
http://uricorn.fly/linsearch#lin	Sprachwissenschaften	3378	3206	23987	172	0.11789798845291068	0.9490822972172883	0.20974125805501945
http://uricorn.fly/linsearch#lit	Literaturwissenschaften	7137	6930	22870	207	0.2325503355704698	0.9709962168978562	0.37523350569889274
http://uricorn.fly/linsearch#phi	Philosophie	2954	2894	50107	60	0.0546027433444652	0.97968855788761	0.10344026449825754
http://uricorn.fly/linsearch#jur	Rechtswissenschaften	11131	10198	1430	933	0.8770209838321293	0.9161800377324589	0.8961729425721694
http://uricorn.fly/linsearch#rel	Religionswissenschaft, Theologie	3471	3337	47847	134	0.06519615504845264	0.9613944108326131	0.12211142621901015
http://uricorn.fly/linsearch#sow	Sozialwissenschaften	16320	13494	31198	2826	0.3019332318983263	0.8268382352941176	0.44233921195830334
http://uricorn.fly/linsearch#spo	Sportwissenschaft	1144	1058	35971	86	0.028572200167436335	0.9248251748251748	0.055431849736724916
http://uricorn.fly/linsearch#oek	Wirtschaftswissenschaften	13239	10055	18869	3184	0.3476351818558982	0.7594984515446787	0.47695847069705666
http://uricorn.fly/linsearch#rest	Konnte nicht zugeordnet werden.	9151	8469	60351	682	0.12306015693112467	0.9254726259425199	0.21723461286888715
	None	0	0	0	0	0.0	0.0	0.0
