Notation 1	Name
<http://uricorn.fly/tib_lok_sys#jur-132.6>	Verfassungsrecht und Völkerrecht
<http://uricorn.fly/tib_lok_sys#jur-863-866.8>	Rechtsfolgen der Tat
<http://uricorn.fly/tib_lok_sys#jur-689.5>	Eigentum. Abwehranspruch / Unterlassungsanspruch / Eigentum. Beseitigungsanspruch / Eigentum. Widerruf
<http://uricorn.fly/tib_lok_sys#jur-83.2>	Angriffskrieg / Verteidigungskrieg / Gerechter Krieg / Völkerrecht. Aggression
<http://uricorn.fly/tib_lok_sys#jur-478.4>	Justiz. Hausrecht / Justiz. Aktenordnung
<http://uricorn.fly/tib_lok_sys#jur-621>	Ausübung der Rechte / Selbstverteidigung / Selbsthilfe
<http://uricorn.fly/tib_lok_sys#jur-477.7>	Organisation der Gerichte
<http://uricorn.fly/tib_lok_sys#jur-740.3>	Erbverzicht
<http://uricorn.fly/tib_lok_sys#jur-750>	Handelsrecht
<http://uricorn.fly/tib_lok_sys#jur-286>	Sonstige wissenschaftliche Institutionen
<http://uricorn.fly/tib_lok_sys#jur-818.1>	Haftpflichtversicherung - Grundfragen
<http://uricorn.fly/tib_lok_sys#jur-225.2>	Tarifverträge für Beschäftigte im öffentlichen Dienst. Einstellung / Eingruppierung / Tätigkeitsmerkmale
<http://uricorn.fly/tib_lok_sys#jur-832.0>	Urheberrecht - Einzelfragen
<http://uricorn.fly/tib_lok_sys#jur-914>	Strafverfahren. Kosten
<http://uricorn.fly/tib_lok_sys#jur-175>	Verfassungrecht und Verfassungsgerichtsbarkeit. Schleswig-Holstein
<http://uricorn.fly/tib_lok_sys#jur-133.5>	Verfassungsgeschichte. Kreisverfassung (Kreise)
<http://uricorn.fly/tib_lok_sys#jur-822-829.4>	Bankrecht / Börsenrecht / Wertpapierrecht
<http://uricorn.fly/tib_lok_sys#jur-318>	Bewertungsrecht
<http://uricorn.fly/tib_lok_sys#jur-964-965>	Geschichte des Kirchenrechts
<http://uricorn.fly/tib_lok_sys#jur-244.7>	Unterbringung / Obdachlosenrecht
<http://uricorn.fly/tib_lok_sys#jur-281-283>	Schulrecht / Bildungsrecht
<http://uricorn.fly/tib_lok_sys#jur-831.5>	Urheberrecht. Presseverleger
<http://uricorn.fly/tib_lok_sys#jur-990.2>	Island
<http://uricorn.fly/tib_lok_sys#jur-667.1>	Leibrente
<http://uricorn.fly/tib_lok_sys#jur-111.4>	Europäisches Kartellrecht. Verfahren
