jur 183.7	Privatrechtliche Körperschaften öffentlicher Verwaltung / Verwaltungsorganisationsrecht. Beleihung
jur 664.9	Auslobung
jur 273.4	Architektenrecht
jur 884.4	Gefährdung des Straßenverkehrs / Verkehrsstraftaten. Gefährliche Eingriffe / Verkehrsstraftaten. Gefährdung / Verkehrsstraftaten. Nötigung
jur 555-558	Kostenrecht
jur 602.5	Wohnsitz
jur 742-747	Einführungsgesetz / Bürgerliches Recht in den Ländern
jur 671-679	Gesetzliche Schuldverhältnisse
jur 830.1	Urheberrecht / Urheberrecht. Werkbegriff / Urheberrecht. Inhalt
jur 120	Europarecht. Handelsrecht
jur 376.2	Landwirtschaftlicher Bodenverkehr
jur 119-122	Europäisches Privatrecht
jur 998.78	Tanganjika
jur 089.4	Internationale Gerichtsbarkeit. Verfahren
jur 735.2	Vor- und Nacherbschaft
jur 483.4	Reichsgericht
jur 233.2	Soldatenrecht. Haftung des Soldaten
jur 004.3	Historische Rechtsschule
jur 020.4	Jurisprudenz als Wissenschaft, Rechtswissenschaftslehren
jur 160.2	Konkurrierende Gesetzgebung / Rahmenkompetenz / Ausschließliche Gesetzgebung
jur 997.3	Vietnam
jur 994.73	Neuguinea
jur 345.5	Kartellrecht. Abgestimmtes Verhalten / Kartellrecht. Diskriminierung
jur 275.3	Gemeinnütziger Wohnungsbau
jur 007.2	Willensfreiheit / Schuld als rechtsphilosophische Frage
jur 807.2	Konzerne / Verbundene Unternehmen
jur 087.6	Kulturgüter im Krieg
jur 817.7	Schadensversicherung. Tierschaden
jur 861	Täterschaft / Teilnahme
jur 670.1	Schuldversprechen / Schuldanerkenntnis / Anerkenntnisvertrag
jur 263	Ärztliche Hilfsberufe / Krankenpfleger
jur 174.6	Verfassungrecht und Verfassungsgerichtsbarkeit. Rheinland-Pfalz
jur 690	Miteigentum
jur 752.3	Firmenrecht
jur 817.1	Schadensversicherung - Grundfragen
jur 495	Notarrecht / Notariat
jur 606.3	Juristische Personen. Sitz / Juristische Personen. Organ
jur 437.8	Betriebsvereinbarungsrecht / Betriebliche Übung
jur 181-199	Allgemeines Verwaltungsrecht
jur 291.8	Rundfunk / Fernsehen - Einzelfragen
jur 191.6	Verwaltungsverfahrensrecht. Beteiligung
jur 032.1	Ägypten
jur 315.3	Steuerverwaltungsrecht. Verfahren
jur 501.4	Zivilprozessrecht. Prozessdauer / Zivilprozessrecht. Prozessbeginn
jur 961.1	Staatskirchenrecht - Grundfragen
jur 493	Rechtsbeistände
jur 823.3	Kreditgeschäfte / Kontokorrent /  Anleihen / Pfandbriefgeschäft
jur 216.2	Kreise. Verfassungsrecht
jur 664-664.4	Werkvertrag
jur 688.1	Fahrniseigentum. Übertragung / Gutgläubiger Erwerb / Fahrniseigentum. Abhanden gekommene Sache
jur 292.9	Telekommunikation
jur 802	Offene Handelsgesellschaft
jur 374.3	Lebensmittel. Kennzeichnung / Lebensmittel. Meldepflicht / Lebensmittel. Handelsklassen
jur 339	Wirtschaftsprüfung / Wirtschaftstreuhänder
jur 614.3	Vertragsfreiheit / Optionsvertrag  / Vertrag. Kontrahierungszwang / Vorrechtsvertrag / Dirigierter Vertrag / Hoheitlich gestalteter Vertrag
jur 968.8	Evangelisches Kirchenrecht. Gerichtsbarkeit
jur 697	Pfandrecht an beweglichen Sachen
jur 133.9	Verfassungsgeschichte. Neuzeit - Einzelfragen
jur 552.2	Freiwillige Gerichtsbarkeit. Betreuungs- und Unterbringungssachen
jur 998.62	Somalia
jur 436	Tarifrecht
jur 967-968	Evangelisches Kirchenrecht
jur 186.2	Enteignung / Aufopferung / Entschädigung
jur 607.7	Vereinsregister / Vereinsregister. Eintragung
jur 859	Schuld / Schuldstrafrecht
jur 022.1	Fahrlässigkeit / Vorsatz / Schuld / Kausalität  / Vermutung
jur 185.2	Öffentliche Sachen. Belastungen / Öffentliche Sachen. Entstehung / Öffentliche Sachen. Widmung
jur 100	Europäische Einigung / Europäische Integration / Europarecht
jur 068.8	Einzelne Menschenrechte im Völkerrecht
jur 333.3	Subventionierung / Wirtschaftsförderung
jur 900-924	Strafprozessrecht / Jugendstrafrecht
jur 281.8	Schulrecht. Recht der Eltern
jur 069	Gebiet und Raum im Völkerrecht / Staatsgebiet
jur 817.6	Schadensversicherung. Hagel / Schadensversicherung. Naturkatastrophen
