<http://uri.gbv.de/terminology/bk/06.51>	Bibliothekstechnik. Bibliothekseinrichtung
<http://uri.gbv.de/terminology/bk/06.53>	Erwerbung. Bestandsaufbau
<http://uri.gbv.de/terminology/bk/06.54>	Bibliotheksautomatisierung
<http://uri.gbv.de/terminology/bk/06.60>	Bibliotheksbenutzung
<http://uri.gbv.de/terminology/bk/06.70>	Katalogisierung. Bestandserschließung
<http://uri.gbv.de/terminology/bk/06.74>	Informationssysteme
<http://uri.gbv.de/terminology/bk/06.80>	Bibliothekskataloge
<http://uri.gbv.de/terminology/bk/06.90>	Archive. Archivkunde
<http://uri.gbv.de/terminology/bk/06.99>	Information und Dokumentation: Sonstiges
<http://uri.gbv.de/terminology/bk/08>	Philosophie
<http://uri.gbv.de/terminology/bk/08.00>	Philosophie: Allgemeines
<http://uri.gbv.de/terminology/bk/08.03>	Grundlagen und Methoden der Philosophie
<http://uri.gbv.de/terminology/bk/08.04>	Ausbildung, Beruf, Organisationen
<http://uri.gbv.de/terminology/bk/08.10>	Nichtwestliche Philosophie: Allgemeines
<http://uri.gbv.de/terminology/bk/08.20>	Geschichte der westlichen Philosophie: Allgemeines
<http://uri.gbv.de/terminology/bk/08.21>	Griechische Philosophie. römische Philosophie
<http://uri.gbv.de/terminology/bk/08.22>	Mittelalterliche Philosophie
<http://uri.gbv.de/terminology/bk/08.23>	Philosophie der Renaissance
<http://uri.gbv.de/terminology/bk/08.24>	Neue westliche Philosophie
<http://uri.gbv.de/terminology/bk/08.25>	Zeitgenössische westliche Philosophie
<http://uri.gbv.de/terminology/bk/08.30>	Systematische Philosophie: Allgemeines
<http://uri.gbv.de/terminology/bk/08.31>	Metaphysik. Ontologie
<http://uri.gbv.de/terminology/bk/08.32>	Erkenntnistheorie
<http://uri.gbv.de/terminology/bk/08.33>	Logik
<http://uri.gbv.de/terminology/bk/08.34>	Sprachphilosophie
<http://uri.gbv.de/terminology/bk/08.36>	Philosophische Anthropologie
<http://uri.gbv.de/terminology/bk/08.37>	Religionsphilosophie
<http://uri.gbv.de/terminology/bk/08.38>	Ethik
<http://uri.gbv.de/terminology/bk/08.41>	Ästhetik
<http://uri.gbv.de/terminology/bk/08.42>	Kulturphilosophie
<http://uri.gbv.de/terminology/bk/08.43>	Geschichtsphilosophie
<http://uri.gbv.de/terminology/bk/08.44>	Sozialphilosophie
<http://uri.gbv.de/terminology/bk/08.45>	Politische Philosophie
<http://uri.gbv.de/terminology/bk/08.46>	Naturphilosophie
<http://uri.gbv.de/terminology/bk/08.47>	Pseudophilosophie
<http://uri.gbv.de/terminology/bk/08.49>	Systematische Philosophie: Sonstiges
<http://uri.gbv.de/terminology/bk/08.99>	Philosophie: Sonstiges
<http://uri.gbv.de/terminology/bk/1-2>	Geisteswissenschaften
<http://uri.gbv.de/terminology/bk/10>	Geisteswissenschaften allgemein
<http://uri.gbv.de/terminology/bk/10.00>	Geisteswissenschaften allgemein: Allgemeines
<http://uri.gbv.de/terminology/bk/10.01>	Geschichte der Geisteswissenschaften
<http://uri.gbv.de/terminology/bk/10.02>	Philosophie und Theorie der Geisteswissenschaften
<http://uri.gbv.de/terminology/bk/10.03>	Methoden und Techniken der geisteswissenschaftlichen Forschung
<http://uri.gbv.de/terminology/bk/10.04>	Ausbildung, Beruf, Organisationen
<http://uri.gbv.de/terminology/bk/10.99>	Geisteswissenschaften allgemein: Sonstiges
<http://uri.gbv.de/terminology/bk/11>	Theologie
<http://uri.gbv.de/terminology/bk/11.00>	Theologie. Religionswissenschaft: Allgemeines
<http://uri.gbv.de/terminology/bk/11.01>	Systematische Religionswissenschaft: Allgemeines
<http://uri.gbv.de/terminology/bk/11.04>	Ausbildung, Beruf, Organisationen
<http://uri.gbv.de/terminology/bk/11.05>	Religionssoziologie
<http://uri.gbv.de/terminology/bk/11.06>	Religionspsychologie
<http://uri.gbv.de/terminology/bk/11.07>	Interreligiöse Beziehungen
<http://uri.gbv.de/terminology/bk/11.08>	Religionskritik. Atheismus
<http://uri.gbv.de/terminology/bk/11.09>	Systematische Religionswissenschaft: Sonstiges
<http://uri.gbv.de/terminology/bk/11.10>	Antike Religionen: Allgemeines
<http://uri.gbv.de/terminology/bk/11.11>	Ägyptische Religion
<http://uri.gbv.de/terminology/bk/11.12>	Mesopotamische Religion
<http://uri.gbv.de/terminology/bk/11.13>	Kanaanäische Religion
<http://uri.gbv.de/terminology/bk/11.14>	Persische Religion
<http://uri.gbv.de/terminology/bk/11.15>	Griechische Religion
<http://uri.gbv.de/terminology/bk/11.16>	Hellenistische Religion
<http://uri.gbv.de/terminology/bk/11.17>	Römische Religion
<http://uri.gbv.de/terminology/bk/11.19>	Antike Religionen: Sonstiges
<http://uri.gbv.de/terminology/bk/11.20>	Judentum: Allgemeines
<http://uri.gbv.de/terminology/bk/11.21>	Prärabbinisches Judentum
<http://uri.gbv.de/terminology/bk/11.22>	Rabbinica
<http://uri.gbv.de/terminology/bk/11.23>	Ritus. religiöse Gebräuche
<http://uri.gbv.de/terminology/bk/11.24>	Jüdisch-christliche Beziehungen
<http://uri.gbv.de/terminology/bk/11.29>	Judentum: Sonstiges
<http://uri.gbv.de/terminology/bk/11.30>	Bibel: Allgemeines
