URI	Beschreibung
<http://uricorn.fly/tib_lok_sys#mat646>	Wahrscheinlichkeitstheorie
<http://uricorn.fly/tib_lok_sys#mat655>	Stochastische Prozesse. Stochastische Analysis.
<http://uricorn.fly/tib_lok_sys#mat660>	Mathematische Statistik
<http://uricorn.fly/tib_lok_sys#mat679>	Multivariate Methoden
<http://uricorn.fly/tib_lok_sys#mat680>	Korrelations- und Regressionstheorie
<http://uricorn.fly/tib_lok_sys#mat686>	Zeitreihen. Multimomentverfahren.
<http://uricorn.fly/tib_lok_sys#mat690>	Angewandte Mathematik
<http://uricorn.fly/tib_lok_sys#mat691>	Numerische Mathematik
<http://uricorn.fly/tib_lok_sys#mat698>	Finite Verfahren. Differenzenverfahren.
<http://uricorn.fly/tib_lok_sys#mat730>	Kybernetik. Theorie allgemeiner Systeme.
<http://uricorn.fly/tib_lok_sys#mat845>	Mathematische Operations Research
<http://uricorn.fly/tib_lok_sys#mat847>	Versicherungsmathematik. Risikotheorie.
<http://uricorn.fly/tib_lok_sys#mat848>	Finanz- und Wirtschaftsrechnen
<http://uricorn.fly/tib_lok_sys#mat850>	Optmierung
<http://uricorn.fly/tib_lok_sys#mat851>	Lineare Optimierung
<http://uricorn.fly/tib_lok_sys#mat852>	Nichtlineare Optimierung
<http://uricorn.fly/tib_lok_sys#mat855>	Spieltheorie
<http://uricorn.fly/tib_lok_sys#mat885>	Mathematische Tafeln und Formelsammlungen
